date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:14	613/613	---MCZ	200	added ('OK')	text/plain	etag:W/%226363ea9b-88e%22	https://www.latina.pe/robots.txt		(from )
12:20:14	94839/94839	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2017:20:14%20GMT	https://www.latina.pe/	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/www.latina.pe/index.html	(from )
12:20:15	166475/166475	---MC-	200	added ('OK')	application/rss+xml	etag:%22ed2a2523c1e4962d421c696fb6b1cb77%22	https://www.latina.pe/feed	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/www.latina.pe/feed	(from https://www.latina.pe/)
12:20:15	793/793	---MC-	200	added ('OK')	application/rss+xml	etag:%22efaecc258818adacf8490c9ee368674d%22	https://www.latina.pe/comments/feed	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/www.latina.pe/comments/feed	(from https://www.latina.pe/)
12:20:16	58171/58171	---M-Z	200	added ('OK')	text/css	etag:W/%226284fd64-e33b%22	https://assetsmain.latina.pe/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/assetsmain.latina.pe/wp-includes/css/dist/block-library/style.min9f31.css	(from https://www.latina.pe/)
12:20:16	184/184	---M-Z	200	added ('OK')	text/css	etag:W/%2261e1e27e-b8%22	https://assetsmain.latina.pe/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build.css?ver=2.0.39	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/assetsmain.latina.pe/wp-content/plugins/quick-adsense-reloaded/includes/gutenberg/dist/blocks.style.build765d.css	(from https://www.latina.pe/)
12:20:16	59016/59016	---M-Z	200	added ('OK')	text/css	etag:W/%226284fd64-e688%22	https://assetsmain.latina.pe/wp-includes/css/dashicons.min.css?ver=5.7.2	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/assetsmain.latina.pe/wp-includes/css/dashicons.min9f31.css	(from https://www.latina.pe/)
12:20:17	2030/2030	---MCZ	200	added ('OK')	application/javascript	etag:W/%226363ea9b-7ee%22	https://assetsmain.latina.pe/wp-content/plugins/breeze/assets/js/breeze-prefetch-links.js?ver=1667496014	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/assetsmain.latina.pe/wp-content/plugins/breeze/assets/js/breeze-prefetch-links00ed.js	(from https://www.latina.pe/)
12:20:17	89496/89496	---M-Z	200	added ('OK')	application/javascript	etag:W/%22629bcf2c-15d98%22	https://assetsmain.latina.pe/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/assetsmain.latina.pe/wp-includes/js/jquery/jquery.min9d52.js	(from https://www.latina.pe/)
12:20:17	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:W/%226284fd64-2bd8%22	https://assetsmain.latina.pe/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/PC-08/Documents/ProyectoHtTrack/ProyectoLatina/assetsmain.latina.pe/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.latina.pe/)
